,,
Lab Day,Lab Time (3hr),Lab Room
SUN,2:00 PM,FT11-01L
TUE,2:00 PM,FT10-04L
TUE,2:00 PM,FT11-01L
WED,2:00 PM,FT10-02L
WED,2:00 PM,FT10-03L
MON,2:00 PM,FT10-04L
MON,2:00 PM,FT11-01L
SAT,8:00 AM,12D-27L
SUN,8:00 AM,12D-26L
SUN,11:00 AM,12D-26L
SAT,11:00 AM,12D-27L
MON,8:00 AM,12D-27L
SAT,8:00 AM,12D-26L
SAT,11:00 AM,12D-26L
SAT,2:00 PM,12D-26L
SUN,2:00 PM,12D-26L
SUN,8:00 AM,12D-27L
SUN,11:00 AM,12D-27L
SUN,2:00 PM,12D-27L
THU,8:00 AM,12D-27L
THU,11:00 AM,12D-27L
MON,11:00 AM,12D-27L
TUE,11:00 AM,12D-27L
MON,11:00 AM,12D-26L
WED,8:00 AM,12D-27L
THU,8:00 AM,12D-26L
THU,11:00 AM,12D-26L
TUE,8:00 AM,12D-26L
TUE,11:00 AM,12D-26L
TUE,2:00 PM,12D-26L
TUE,8:00 AM,12D-27L
WED,11:00 AM,12D-27L
MON,2:00 PM,12D-26L
MON,8:00 AM,12D-26L
THU,2:00 PM,12D-26L
WED,8:00 AM,12D-26L
WED,11:00 AM,12D-26L
WED,2:00 PM,12D-26L
SAT,8:00 AM,09F-27L
TUE,11:00 AM,09E-21L
TUE,2:00 PM,09E-21L
SAT,11:00 AM,09F-27L
WED,11:00 AM,09F-26L
SAT,2:00 PM,09F-27L
SUN,8:00 AM,09E-22L
SUN,11:00 AM,09E-22L
SUN,2:00 PM,09E-22L
SUN,8:00 AM,12F-32L
MON,11:00 AM,09E-21L
MON,11:00 AM,09F-25L
MON,2:00 PM,09E-21L
MON,8:00 AM,09E-22L
WED,8:00 AM,09F-25L
THU,8:00 AM,09E-22L
THU,11:00 AM,09E-22L
THU,2:00 PM,09E-22L
THU,2:00 PM,09F-27L
WED,11:00 AM,09F-27L
WED,2:00 PM,09F-26L
TUE,2:00 PM,09B-11L
TUE,11:00 AM,09B-11L
SAT,2:00 PM,09F-25L
TUE,8:00 AM,12F-32L
SAT,8:00 AM,09E-22L
SAT,11:00 AM,09E-22L
